NAME;E;N;Z
Pointe du Prélèt;2608130;1107448;3000
Galmihorn;2672547;1150116;3001
Piz Mäder;2766726;1141496;3001
Wiwannihorn;2632138;1133820;3001
Mittler Wissberg;2760508;1150410;3002
Mittlere Loner;2613113;1146482;3002
Piz da l'Aua;2822841;1181742;3002
Piz da Peder Bucs;2774739;1160548;3002
Piz Nair;2823621;1197078;3002
Piz Pala Gronda;2818782;1162588;3002
Chli Rinderhorn;2615721;1141621;3003
Reissend Nollen;2673501;1179931;3003
Furkelspitz;2832742;1161282;3004
Piz Costainas;2832742;1161282;3004
Piz Schlattain;2780506;1154214;3004
Rothoren;2659865;1158646;3004
Chlein Dukan;2783777;1172862;3005
Cima de Val Loga;2741109;1148696;3005
Ducan Pitschen;2783777;1172862;3005
Fleschhorn;2659950;1131590;3005
Hohberghorn;2727731;1152275;3005
Älplihora;2782504;1176073;3006
Piz Chazforà;2827905;1160466;3006
Punta Casana;2802874;1160709;3006
Hinter Spitzalpelistock;2710249;1186713;3007
Pfaffenhüöt;2671473;1179042;3007
Piz Ravetsch;2696919;1160007;3007
Hungerlihorli;2622104;1114708;3008
Las Sours;2791066;1153001;3008
Piz Funtauna;2788774;1169894;3008
Täschehorn;2655510;1147086;3008
Larainfernerspitze;2812939;1198708;3009
Piz Larain;2812939;1198708;3009
Bächenstock;2683868;1180251;3010
Piz Nair;2816791;1172338;3010
Pizzo Crozlina;2698558;1143503;3010
Brichplanggenstock;2695132;1172215;3011
L'Epaule;2560744;1108228;3011
Grauhörner;2764465;1142640;3012
Piz Murters;2813460;1174840;3012
Piz Polaschin;2777758;1148123;3013
Piz Uffiern;2699063;1160026;3013
Piz Urschai Dadoura;2809941;1192671;3013
Plattaflue;2785282;1174165;3013
Tennbachhorn;2626758;1142722;3013
Mittaghorn;2672698;1149898;3014
Aiguille des Sasses;2575096;1078683;3015
Cima de Pian Guarnei;2741971;1138873;3015
Gemsbleisspitze;2813417;1201650;3015
Paraid Naira;2813417;1201650;3015
Pizzo del Corvo;2706928;1157855;3015
Pizzo Quadro;2741971;1138873;3015
Cima da la Sovräna;2756147;1139528;3016
Igl Compass;2782716;1162555;3016
Piz Rondadura;2700579;1159167;3016
Witenalpstock;2700044;1176912;3016
Chrindelspitza;2631170;1144701;3017
Corn Chamuotsch;2777704;1152429;3017
Glarner Vorab;2730664;1193511;3017
Torrone di Garzora;2721985;1159021;3017
Piz di Ross;2740205;1145977;3018
Piz Turba;2766608;1142185;3018
Le Toûno;2616314;1117356;3019
Piz Blas;2698832;1159234;3019
Piz Murtelet;2785889;1171673;3019
Spitzli;2683524;1172355;3019
Tscheischhorn;2759768;1143941;3019
Chrütighorn;2631912;1134174;3020
Ducan Dador;2782970;1172082;3020
Gletscher Dukan;2782970;1172082;3020
La Pointe de Moline;2583261;1082100;3020
Lorenziberg;2825882;1172772;3020
Piz Fless;2798380;1185042;3020
Pointe d'Ayace;2595285;1085085;3020
Cima Rossa;2747789;1152678;3021
Hinter Feldschijen;2681288;1164618;3021
Piz Punt Ota;2793351;1172633;3021
Piz Vallatscha;2819975;1172631;3021
Sparrhoru;2641946;1139368;3021
Castalegns;2772157;1158277;3022
Crête Sèche;2571956;1089853;3022
Faltschonhorn;2728403;1163727;3022
Piz Ftur;2811728;1175342;3022
Radüner Rothora;2791687;1177829;3022
Piz dalla Siala;2710453;1163801;3023
Piz Sampuoir;2812474;1175354;3023
Ruchennadel;2702024;1185029;3023
Unterer Torberg;2639795;1142060;3023
Chli Läckihorn;2678911;1154116;3024
Chli Muttenhorn;2676368;1154980;3024
