NAME;E;N;Z
Rifugio Alpe Sponda;2703581;1141570;2000
Cabane du Scex Carro;2572216;1111851;2000
Zwinglipasshütte;2746706;1233177;2001
Geltenhütte SAC;2592335;1135364;2003
Martinsmadhütte SAC;2733329;1194980;2003
Capanna Poncione di Braga;2687141;1142570;2003
Restaurant Alpenrose;2775639;1186279;2004
Restaurant Roseg Gletscher;2786544;1145797;2004
Hotel Simplonblick;2645702;1122242;2004
Restaurant Panorama;2630151;1123171;2004
Cabane de la Tsissette;2578044;1089170;2005
Bergrestaurant Rinderberg-Spitz;2593821;1150778;2005
Berggasthaus Dürrboden;2789815;1177410;2005
Mäderbeiz Pischa;2787596;1187104;2006
Alpage de Tsalan-d'Arbaz;2596785;1128881;2007
Acla Laret;2793981;1166004;2007
Mason da Canfinal;2797711;1133691;2007
Masshitta;2663627;1136836;2008
Cabane de la Matze;2595216;1114724;2009
Bärghuis Schönbüel;2650409;1182034;2011
Bergrestaurant Brüggerstuba;2769838;1184099;2012
Capanna Adula CAS;2719515;1150949;2012
Panoramarestaurant Maschgenkamm;2737823;1214762;2012
Chamanna Bos-chetta;2791276;1163865;2013
Panoramarestaurant Maschgenkamm;2737841;1214784;2015
L'Alpage 1988;2595163;1114118;2015
Tegia Gronda;2742585;1191043;2016
Capanna Prou;2720107;1143945;2016
Cascina di Laghetto;2709561;1146306;2019
Rifugio Biasagn;2722930;1139250;2022
Seewlialp;2696950;1185123;2023
Restaurant Alp Arosa;2769312;1183606;2023
Restaurant Alp Arosa;2769307;1183616;2024
Älplihütta;2754213;1192477;2024
Rifugio Lavill;2718814;1145429;2024
Stabbiello;2695896;1149508;2025
Alpwirtschaft Hohkien;2628087;1157361;2026
Alpwirtschaft Hohkien;2628078;1157358;2027
Berghaus Splügenpass;2744947;1152936;2027
Schaukäserei und Restaurant Clavadeleralp;2782344;1183061;2027
Cascina di Viei;2682494;1152764;2027
Chamanna Marangun;2802179;1187535;2027
Restaurant Hermetje;2622152;1094456;2028
Blattihütte;2600824;1138124;2028
Café Triftalp;2639379;1108919;2029
Alphüttenbeiz Tigia Alp Stierva;2758960;1169801;2029
Café Alpenblick;2637318;1106717;2030
Alphütte Sanaspans;2763851;1177015;2030
Steihitta;2663697;1136984;2030
Wägerhus;2790087;1183961;2030
Anita's Alpstübli;2767498;1163246;2032
Hotel Bergalga;2762506;1146487;2032
Refuge de Valerette;2562326;1117302;2032
Windgällenhütte AACZ;2700558;1182961;2034
Acla Büsin;2792661;1165270;2036
Cabane d'Anthème;2558726;1112839;2037
Rotstockhütte;2630655;1154952;2039
Vermigelhütte;2693436;1161093;2040
Ustarietta Tea Tschlin;2829023;1198670;2041
Capanna Efra;2708780;1132875;2041
Alphütte Flüealp;2617793;1138644;2042
Gasthaus Piz Calmot;2694324;1168353;2043
Chammhüttli;2742114;1212063;2043
Ustria Alpsu;2694352;1168239;2044
Restaurant Tournant Panoramique Le Kuklos;2566392;1134352;2044
Capanna Anzana;2803358;1123332;2044
Observatorium Tschuggen Arosa;2770171;1183548;2044
Cascina Nuova;2710844;1131079;2045
Schutzhütte;2595327;1141069;2045
Gasthaus & Hotel Berninahaus;2794544;1146919;2047
Restaurant Moosalpe;2630154;1122228;2048
Restaurant Moosalpe;2630162;1122227;2048
Cabane de Balavaud;2587582;1111571;2048
Hôtel Restaurant du Sanetsch;2589499;1129938;2048
Alpbeizli Chammli;2706504;1190807;2049
Hamilton Lodge;2640780;1135471;2050
Restaurant Dorbia Moosalpe;2630126;1122316;2050
Fluhseehütte;2604676;1139992;2050
Bergrestaurant Rinerhorn Jatzmeder;2780624;1179808;2051
Berg-Restaurant Hockenalp;2625096;1140006;2053
Gipfelhütte Piz Mundaun;2731382;1178213;2053
Börterhütte;2789432;1198534;2053
Restaurant Findlerhof;2625228;1095540;2054
Etzlihütte SAC;2698014;1174911;2055
Chalet Sepp;2640763;1135505;2058
Auberge du Sanetsch;2589117;1134564;2060
Alp da Segl;2779731;1140655;2060
