Kanton;Gemeindename;E;N
GE;Chancy;2487363.949;1111719.586
GE;Dardagny;2487819.906;1117857.067
GE;Avully;2488859.405;1113899.007
GE;Russin;2489879.761;1116455.71
GE;Cartigny;2490402.753;1113285.419
GE;Avusy;2490402.753;1113285.419
GE;Satigny;2491078.944;1119197.014
GE;Laconnex;2491442.771;1112909.591
GE;Aire-la-Ville;2492439.333;1116435.913
GE;Soral;2492811.987;1112386.102
GE;Bernex;2494034.19;1114693.896
GE;Vernier;2494441.279;1119626.079
GE;Meyrin;2494605.718;1121133.128
GE;Confignon;2494740.054;1114016.115
GE;Perly-Certoux;2495663.79;1112758.921
GE;Plan-les-Ouates;2496813.689;1114038.495
VD;Gingins;2497074.208;1142418.992
GE;Onex;2497443.851;1115522.469
GE;Bardonnex;2497969.087;1111775.371
GE;Lancy;2498255.022;1114845.282
GE;Collex-Bossy;2498473.73;1126210.079
VD;La Rippe;2498593.828;1140129.116
GE;Le Grand-Saconnex;2499236.075;1120786.234
VD;Saint-Cergue;2499491.498;1147230.149
GE;Troinex;2499700.729;1113737.23
VD;Chavannes-des-Bois;2499707.45;1130170.822
GE;Bellevue;2499726.634;1124018.858
VD;Arzier-Le Muids;2499797.468;1149669.692
GE;Carouge (GE);2499907.502;1115064.136
GE;Genève;2500072.338;1118419.85
VD;Chéserex;2500780.24;1140742.922
VD;Chavannes-de-Bogis;2501048.598;1132818.926
GE;Genthod;2501064.122;1124477.38
GE;Versoix;2501272.221;1128293.182
VD;Commugny;2501867.492;1131045.369
VD;Bogis-Bossey;2502004.924;1134501.133
VD;Mies;2502235.27;1128821.209
GE;Veyrier;2502267.759;1112764.949
VD;Crassier;2502290.589;1136846.405
VD;Tannay;2502445.906;1129634.048
GE;Chêne-Bougeries;2503140.706;1117091.045
VD;Borex;2503154.29;1137232.965
GE;Cologny;2503291.961;1119073.792
VD;Founex;2503682.743;1131554.954
VD;Coppet;2503778.676;1130690.718
GE;Chêne-Bourg;2504018.042;1116733.242
VD;Grens;2504064.42;1139071.303
VD;Arnex-sur-Nyon;2504124.651;1136488.121
VD;Givrins;2504365.946;1143174.072
VD;Trélex;2504402.046;1141556.322
GE;Céligny;2504439.312;1134131.604
GE;Vandoeuvres;2504723.011;1119524.736
VD;Crans (VD);2504863.494;1135425.816
VD;Bassins;2504898.213;1149248.283
VD;Signy-Avenex;2504954.932;1138732.653
GE;Collonge-Bellerive;2504993.991;1123557.32
GE;Thônex;2505002.003;1116716.126
VD;Eysins;2505125.077;1137197.772
VD;Genolier;2506474.376;1143283.641
GE;Corsier (GE);2506563.314;1124217.767
GE;Puplinge;2506686.236;1118348.353
GE;Choulex;2506763.062;1119888.682
VD;Nyon;2506787.059;1137565.313
GE;Anières;2507053.401;1125767.85
VD;Duillier;2507132.838;1140471.63
GE;Meinier;2507169.399;1121843.544
VD;Marchissy;2507378.03;1149840.388
VD;Le Vaud;2507486.59;1148340.25
VD;Coinsins;2507591.007;1142183.169
GE;Hermance;2507981.766;1127722.124
VD;Longirod;2508054.228;1151144.139
VD;Vich;2508623.676;1142768.541
VD;Begnins;2508864.026;1144636.125
VD;Prangins;2509066.242;1139607.785
GE;Presinge;2509263.272;1118973.324
VD;Saint-George;2509303.332;1152749.42
