NAME;E;N;Z
Zürich;2682880;1249774;461
Turitg;2682880;1249774;461
Zurich;2682880;1249774;461
Zurigo;2682880;1249774;461
Genève;2500006;1118247;382
Genevra;2500006;1118247;382
Genf;2500006;1118247;382
Ginevra;2500006;1118247;382
Lausanne;2536842;1152780;449
Losanna;2536842;1152780;449
Bern;2600901;1200206;562
Berna;2600901;1200206;562
Berne;2600901;1200206;562
Basel;2611723;1267368;245
Basilea;2611723;1267368;245
Bâle;2611723;1267368;245
Winterthur;2697947;1261571;446
Winterthour;2697947;1261571;446
Frauenfeld;2709900;1268653;402
Kreuzlingen;2730683;1278717;421
Weinfelden;2725488;1269874;429
Arbon;2749783;1264321;401
Bassersdorf;2689850;1255364;461
Effretikon;2694533;1253483;506
Herisau;2738804;1249981;765
Buchs SG;2754507;1225858;446
Chur;2758867;1191326;581
Coira;2758867;1191326;581
Coire;2758867;1191326;581
Cuira;2758867;1191326;581
Wil SG;2721334;1257890;569
Schaffhausen;2690193;1284551;427
Schaffhouse;2690193;1284551;427
Schaffusa;2690193;1284551;427
Sciaffusa;2690193;1284551;427
Pfäffikon ZH;2701545;1246981;545
Altdorf UR;2691554;1192844;456
Einsiedeln;2699071;1220808;877
Richterswil;2695353;1229372;472
Männedorf;2695029;1234721;446
Wädenswil;2692587;1231718;463
Stäfa;2697650;1233152;433
Jona;2706651;1232208;442
Rüti ZH;2707389;1234912;471
Wetzikon ZH;2702927;1242756;544
Uster;2696517;1245194;461
Volketswil;2692772;1249245;446
Neuhausen am Rheinfall;2688508;1282100;440
Zug;2681106;1225741;420
Zoug;2681106;1225741;420
Zugo;2681106;1225741;420
Cham;2677281;1226387;416
Steinhausen;2679457;1227741;428
Baar;2682622;1227915;446
Horgen;2688222;1234524;451
Affoltern am Albis;2676763;1237181;487
Meilen;2690977;1236235;421
Thalwil;2685160;1238442;464
Adliswil;2682125;1240306;454
Küsnacht ZH;2686762;1241690;458
Dübendorf;2688979;1250182;437
Glattbrugg;2684797;1254139;430
Wallisellen;2686760;1252389;448
Kloten;2685892;1256302;432
Bülach;2682848;1263596;415
Münsingen;2608886;1191291;524
Munisenges;2608886;1191291;524
Horw;2666146;1207638;439
Veyrier;2501461;1114400;417
Möhlin;2630177;1268505;302
Rheinfelden;2627180;1267200;279
Baden;2665671;1258326;360
Wettingen;2666718;1257369;393
Spreitenbach;2670180;1252567;406
Dietikon;2672267;1251084;390
Schlieren;2676380;1250402;392
Aarau;2646049;1249019;382
Urdorf;2674476;1249001;409
Wohlen AG;2663230;1244627;416
Suhr;2648160;1247170;415
Kriens;2664956;1208901;462
Siders;2606938;1126588;538
Sierre;2606938;1126588;538
Sion;2594282;1119964;503
Sitten;2594282;1119964;503
La Tour-de-Peilz;2556202;1145043;421
Liestal;2622369;1259523;312
