NAME;E;N;Z
Zurzacherberg;2663120;1269751;476
Wintersingeregg;2630051;1262992;504
Bürersteig;2654266;1264428;550
Mutschälle;2670148;1246149;551
Siblingerhöhe;2679986;1286223;555
Monte Ceneri;2713480;1110787;556
Munt Schiember;2713480;1110787;556
Rickenbacher Höchi;2630218;1259787;557
Bözberg;2652772;1259142;569
Ampferehöchi;2651610;1263261;579
Buuseregg;2631433;1260579;580
Böhler;2648840;1239801;612
Staffelegg;2646912;1253856;620
Bänkelloch;2649097;1236930;623
Rüsler;2666153;1254533;648
Tüfletehöchi;2615074;1257050;660
Heitersberg;2667811;1252241;664
Benkerjoch;2644619;1254020;674
Rumpelhöchi;2632366;1245255;679
Hirzel;2688797;1231293;683
Eichhöhe;2616936;1249600;686
Unterer Hauenstein;2632504;1247913;690
St. Luzisteig;2758898;1210738;716
Oberer Hauenstein;2624560;1244614;730
Challpass;2601522;1255510;746
Buchenegg;2680867;1238913;786
Wisnerhöchi;2633678;1248370;786
Salhöhe;2641297;1253269;787
Col de la Croix;2577548;1246932;789
Albispasshöhe;2681912;1236688;790
Ricken;2721710;1236269;795
Santelhöchi;2627702;1243194;797
Schafmatt;2638934;1251906;812
Col de Pierre Pertuis;2581441;1228784;827
Wasserfluh;2726649;1243028;843
Breitenhöchi;2622939;1244378;847
Challhöchi;2629878;1246563;848
Col des Rangiers;2583427;1248244;856
Col de Montvoie;2570754;1246655;858
Col du Chalet-à-Gobet;2543167;1157541;875
Oberricken;2720231;1237033;906
Col des Roches;2545390;1211365;920
Col France;2545390;1211365;920
Fritzeflue;2630191;1211658;929
Sattel;2693441;1216548;933
Passwang;2616430;1245257;943
Etzelpass;2701095;1225579;949
Hulftegg;2715433;1246862;953
Rengg;2649616;1206047;960
Stoss;2753095;1247664;971
Sätteli;2683426;1221737;975
Schufelberger Egg;2709544;1240564;990
Chilchzimmersattel;2627453;1246126;991
Brünigpass;2653323;1178604;1008
Ruppenpass;2755816;1251526;1016
Schüpferegg;2643319;1202370;1019
Scheltenpass;2610822;1242778;1051
Chatzenstrick;2697341;1221395;1053
Col du Mont d'Orzeires;2515715;1171026;1061
Bättlerchuchi;2612263;1235990;1076
Raten;2692926;1221931;1077
Balmberg;2607639;1235032;1079
Wildhaus;2744841;1229807;1090
Col des Pontins;2566813;1219672;1119
Pétra Félix;2516535;1168126;1146
Col des Etroits;2528007;1186958;1152
Gottschalkenberg;2691679;1223126;1162
Schallenberg;2627344;1186175;1168
Col de la Tourne;2549803;1203839;1170
Col du Mollendruz;2517731;1167188;1180
Sattelegg;2706822;1220557;1190
Col du Mont Crosin;2569749;1226637;1227
Col de la Givrine;2496266;1145859;1229
Mostelegg;2692801;1212345;1266
Saanenmöser;2589729;1151479;1279
Weissenstein;2605274;1233807;1279
Col de la Vue des Alpes;2556814;1213669;1283
Col de l'Aiguillon;2525250;1182486;1293
Schwägalp Passhöhe;2741173;1235307;1299
Kunkelspass;2750441;1191338;1358
Pas de Morgins;2554603;1121779;1378
Alpe di Neggia;2708757;1107541;1394
Ibergeregg;2698428;1208189;1406
Col des Planches;2575681;1105102;1408
Col des Mosses;2574158;1138680;1445
Col du Marchairuz;2508868;1156414;1447
Ächerli;2668313;1195277;1457
Col d'Ayerne;2565664;1138574;1466
Col de Champex;2574299;1097878;1497
Col du Chasseral;2569154;1218819;1502
Jaunpass;2592504;1159997;1508
Col de Bellegarde;2592504;1159997;1508
Col de la Forclaz;2566160;1100785;1527
Glaubenberg;2650988;1193678;1543
Schwarzenbühlpass;2596472;1176382;1546
Col du Pillon;2581983;1133586;1546
Pragelpass;2708822;1206336;1548
Lenzerheide;2761950;1180216;1550
Gurnigelpass;2600720;1175674;1610
Glaubenbielen;2649970;1185548;1611
Wolfgang;2784246;1189724;1632
Col de la Pierre du Moëllé;2569815;1137898;1661
Col du Lein;2578396;1106791;1686
Col de la Croix;2575985;1130436;1776
Portes de Culet;2556393;1123138;1788
Passo del Maloja;2773569;1141228;1815
Malojapass;2773569;1141228;1815
Pass dal Malögia;2773569;1141228;1815
Klausenpass;2708019;1191760;1948
Grosse Scheidegg;2650765;1167407;1962
Cuolm Lucmagn;2704448;1159021;1972
Passo del Lucomagno;2704448;1159021;1972
Lukmanierpass;2704448;1159021;1972
Passo del Sempione;2645734;1122259;2006
Simplonpass;2645734;1122259;2006
